"scientific_name","common_name","source"
"Acanthistius brasilianus","sea bass","FDA The Seafood List, 2023/07/21"
"Acanthocardia aculeata","cockle","FDA The Seafood List, 2023/07/21"
"Acanthocardia tuberculata","cockle","FDA The Seafood List, 2023/07/21"
"Acanthopagrus berda","porgy","FDA The Seafood List, 2023/07/21"
"Acanthurus gahhm","surgeonfish","FDA The Seafood List, 2023/07/21"
"Acetes japonicus","shrimp","FDA The Seafood List, 2023/07/21"
"Achatina fulica","snail","FDA The Seafood List, 2023/07/21"
"Acheta domesticus","house cricket","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Acipenser multiscutatus","sturgeon","FDA The Seafood List, 2023/07/21"
"Actinopyga mauritiana","surf redfish","Australian Fisheries Management Authority"
"Aequipecten glyptus","scallop","FDA The Seafood List, 2023/07/21"
"Aetobatus narinari","eagle ray","FDA The Seafood List, 2023/07/21"
"Ailichthys punctatus","kajuli","FDA The Seafood List, 2023/07/21"
"Alectis indicus","jack","FDA The Seafood List, 2023/07/21"
"Aliger gigas","queen conch","SJ"
"Allosmerus elongatus","smelt","FDA The Seafood List, 2023/07/21"
"Allothunnus fallai","tuna","FDA The Seafood List, 2023/07/21"
"Alosa agone","shad","FDA The Seafood List, 2023/07/21"
"Alosa alosa","shad","FDA The Seafood List, 2023/07/21"
"Alosinae","shad","JL"
"Alphitobius diaperinus","lesser mealworm","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Ambloplites cavifrons","bass","FDA The Seafood List, 2023/07/21"
"Ameiurus platycephalus","bullhead","FDA The Seafood List, 2023/07/21"
"Ammodytes americanus","sand lance","FDA The Seafood List, 2023/07/21"
"Amphilophus alfari","cichlid","FDA The Seafood List, 2023/07/21"
"Amphilophus longimanus","cichlid","FDA The Seafood List, 2023/07/21"
"Amphioctopus fangsiao","webfoot octopus","SJ"
"Amusium japonicum","scallop","FDA The Seafood List, 2023/07/21"
"Amusium papyraceum","scallop","FDA The Seafood List, 2023/07/21"
"Amusium pleuronectes","scallop","FDA The Seafood List, 2023/07/21"
"Anacridium melanorhodon melanorhodon","tree locust","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Anadara baughmani","arkshell","FDA The Seafood List, 2023/07/21"
"Anadara subcrenata","arkshell","FDA The Seafood List, 2023/07/21"
"Anaphe panda","silk worm","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Anas","duck","BP"
"Anchoa compressa","anchovy","FDA The Seafood List, 2023/07/21"
"Anchoviella perfasciata","anchovy","FDA The Seafood List, 2023/07/21"
"Anisotremus davidsonii","grunt","FDA The Seafood List, 2023/07/21"
"Anisotremus interruptus","grunt","FDA The Seafood List, 2023/07/21"
"Anisotremus taeniatus","grunt","FDA The Seafood List, 2023/07/21"
"Apis cerana","eastern honey bee","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Apis dorsata","giant honey bee","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Apis mellifera","honeybee","JL"
"Apocryptes bato","chiring","FDA The Seafood List, 2023/07/21"
"Apostichopus japonicus","japanese sea cucumber","FAO Cultured Aquatic Species Fact Sheets"
"Apsilus dentatus","snapper","FDA The Seafood List, 2023/07/21"
"Apsilus fuscus","snapper","FDA The Seafood List, 2023/07/21"
"Arca granosa","cockle","FDA The Seafood List, 2023/07/21"
"Arca imbricata","arkshell","FDA The Seafood List, 2023/07/21"
"Arca noae","arkshell","FDA The Seafood List, 2023/07/21"
"Arca zebra","arkshell","FDA The Seafood List, 2023/07/21"
"Archosargus probatocephalus","sheepshead","SJ"
"Arctica islandica","ocean quahog","Marty Smith"
"Arctogadus borisovi","cod","FDA The Seafood List, 2023/07/21"
"Ardeotis australis","australian bustard","Newton, ""The Oldest Foods on Earth"""
"Argentina elongata","argentine","FDA The Seafood List, 2023/07/21"
"Argentina sphyraena","smelt","FDA The Seafood List, 2023/07/21"
"Argopecten aequisulcatus","scallop","FDA The Seafood List, 2023/07/21"
"Argopecten gibbus","calico scallop","FDA The Seafood List, 2023/07/21"
"Argopecten irradians","atlantic bay scallop","SJ"
"Argopecten lineolaris","scallop","FDA The Seafood List, 2023/07/21"
"Argopecten nucleus","scallop","FDA The Seafood List, 2023/07/21"
"Argopecten purpuratus","scallop","FDA The Seafood List, 2023/07/21"
"Argopecten ventricosus","calico scallop","FDA The Seafood List, 2023/07/21"
"Argyrosomus hololepidotus","croaker","FDA The Seafood List, 2023/07/21"
"Aristaeomorpha foliacea","shrimp","FDA The Seafood List, 2023/07/21"
"Aristaeopsis edwardsiana","shrimp","FDA The Seafood List, 2023/07/21"
"Arnoglossus scapha","flounder","FDA The Seafood List, 2023/07/21"
"Arripis georgianus","kahawai","FDA The Seafood List, 2023/07/21"
"Artemia","brine shrimps","FAO Cultured Aquatic Species Fact Sheets"
"Aspongopus nepalensis","stink bug","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Astacoidea","crayfish","JL"
"Atractoscion nobilis","seabass","FDA The Seafood List, 2023/07/21"
"Atrina pectinata","pen shell","FDA The Seafood List, 2023/07/21"
"Atrina serrata","penshell","FDA The Seafood List, 2023/07/21"
"Aulacomya ater","mussel","FDA The Seafood List, 2023/07/21"
"Austroglossus microlepis","sole","FDA The Seafood List, 2023/07/21"
"Austroglossus pectoralis","sole","FDA The Seafood List, 2023/07/21"
"Austrovenus stutchburyi","venus clam","FDA The Seafood List, 2023/07/21"
"Babylonia areolata","whelk","FDA The Seafood List, 2023/07/21"
"Barbatia cancellaria","arkshell","FDA The Seafood List, 2023/07/21"
"Barbonymus schwanenfeldii","tinfoil barb","BP"
"Basilichthys australis","silverside","FDA The Seafood List, 2023/07/21"
"Bathycongrus aequoreus","conger eel","FDA The Seafood List, 2023/07/21"
"Bathynomus giganteus","isopod","FDA The Seafood List, 2023/07/21"
"Bathyraja trachura","skate","FDA The Seafood List, 2023/07/21"
"Batocera roylei","beetle","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Batrachoides surinamensis","toadfish","FDA The Seafood List, 2023/07/21"
"Berryteuthis magister","squid","FDA The Seafood List, 2023/07/21"
"Bodianus scrofa","hogfish","FDA The Seafood List, 2023/07/21"
"Bombyx mori","silkworm","SJ"
"Bothus ocellatus","flounder","FDA The Seafood List, 2023/07/21"
"Brama australis","pomfret","FDA The Seafood List, 2023/07/21"
"Brama brama","pomfret","FDA The Seafood List, 2023/07/21"
"Bramidae","pomfret","JL"
"Brotula clarkae","brotula","FDA The Seafood List, 2023/07/21"
"Busycotypus canaliculatus","whelk","FDA The Seafood List, 2023/07/21"
"Busycotypus spiratus","whelk","FDA The Seafood List, 2023/07/21"
"Caelorinchus fasciatus","grenadier","FDA The Seafood List, 2023/07/21"
"Calamus arctifrons","porgy","FDA The Seafood List, 2023/07/21"
"Calamus leucosteus","porgy","FDA The Seafood List, 2023/07/21"
"Callinectes amnicola","swimming crab","FDA The Seafood List, 2023/07/21"
"Callinectes arcuatus","swimming crab","FDA The Seafood List, 2023/07/21"
"Callinectes bellicosus","swimming crab","FDA The Seafood List, 2023/07/21"
"Callinectes rathbunae","swimming crab","FDA The Seafood List, 2023/07/21"
"Callinectes sapidus","atlantic blue crab","BP"
"Callinectes toxotes","swimming crab","FDA The Seafood List, 2023/07/21"
"Cancer anthonyi","yellow rock crab","FDA The Seafood List, 2023/07/21"
"Cancer borealis","jonah crab","SJ"
"Cancer irroratus","atlantic rock crab","SJ"
"Cancer magister","dungeness crab","JL"
"Cancer pagurus","rock crab","FDA The Seafood List, 2023/07/21"
"Cancer productus","rock crab","FDA The Seafood List, 2023/07/21"
"Carcharhinus altimus","shark","FDA The Seafood List, 2023/07/21"
"Carcharhinus isodon","shark","FDA The Seafood List, 2023/07/21"
"Carcharhinus porosus","shark","FDA The Seafood List, 2023/07/21"
"Carcharhinus signatus","shark","FDA The Seafood List, 2023/07/21"
"Carcinus aestuari","mediterranean green crab","FDA The Seafood List, 2023/07/21"
"Carcinus maenas","swimming crab","FDA The Seafood List, 2023/07/21"
"Cardiidae","cockle","JL"
"Cardisoma armatum","land crab","FDA The Seafood List, 2023/07/21"
"Carebara vidua","black ant","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Catla catla","catla","FAO Cultured Aquatic Species Fact Sheets"
"Catostomus columbianus","carp","FDA The Seafood List, 2023/07/21"
"Caulolatilus affinis","tilefish","FDA The Seafood List, 2023/07/21"
"Caulolatilus chrysops","tilefish","FDA The Seafood List, 2023/07/21"
"Caulolatilus princeps","tilefish","FDA The Seafood List, 2023/07/21"
"Cellana denticulata","limpet","FDA The Seafood List, 2023/07/21"
"Centroberyx affinis","alfonsino","FDA The Seafood List, 2023/07/21"
"Centroberyx gerrardi","alfonsino","FDA The Seafood List, 2023/07/21"
"Centrolophus niger","black ruff","FDA The Seafood List, 2023/07/21"
"Centropomus mexicanus","snook","FDA The Seafood List, 2023/07/21"
"Cephalophus natalensis","red forest duiker","BP"
"Cephenemyia trompe","caribou nose bot fly","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Cerastoderma edule","common cockle","SJ"
"Cerax quadricarinatus","red claw crayfish","FAO Cultured Aquatic Species Fact Sheets"
"Cervimunida johni","squat lobster","SJ"
"Cetacea","whales","JL"
"Cetengraulis mysticetus","anchovy","FDA The Seafood List, 2023/07/21"
"Chaceon afiinis","deep sea crab","FDA The Seafood List, 2023/07/21"
"Chaceon fenneri","golden crab","FDA The Seafood List, 2023/07/21"
"Chaceon maritae","red crab","FDA The Seafood List, 2023/07/21"
"Chaceon quinquedens","red crab","FDA The Seafood List, 2023/07/21"
"Chaetodipterus zonatus","spadefish","FDA The Seafood List, 2023/07/21"
"Channidae","snakehead","JL"
"Chaoborus edulis","glass worm","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Chascanopsetta crumenalis","flounder","FDA The Seafood List, 2023/07/21"
