"scientific_name","common_name","source"
"Abutilon indicum","indian abutilon","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Abutilon megapotamicum","trailing abutilon","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Acacia pennata","cha-om","BP"
"Acacia senegal","gum acacia","van Wyk, ""Food Plants of the World"""
"Acer ginnala","Amur maple","Facciola, ""Cornucopia"""
"Acer nigrum","black maple","JL"
"Acmella oleracea","toothache plant","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Acronychia acidula","lemon aspen","Newton, ""The Oldest Foods on Earth"""
"Aframomum laurentii","bongongoo","BP"
"Agathosma betulina","buchu","van Wyk, ""Food Plants of the World"""
"Agave tequilana","tequila plant","van Wyk, ""Food Plants of the World"""
"Alibertia patinoi","boroj?","Blancke 2016"
"Allium cepa var. aggregatum","shallot","BP"
"Allium ledebourianum","wild onion","Milla 2020 Crop Origins"
"Allium porrum","garden leek","BP"
"Aloe cooperi","cooper's aloe","Peters, ""Edible Wild Plants of Subsaharan Africa"""
"Aloysia triphylla","lemon verbena","van Wyk, ""Food Plants of the World"""
"Alpinia conchigera","lesser alpinia","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Alpinia globosa","round chinese cardamom","Milla 2020 Crop Origins"
"Alpinia latilabris","shell ginger","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Alpinia malaccensis","malacca ginger","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Alpinia zerumbet","shell ginger","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Amaranthus cruentus","red amaranth","BP"
"Amaranthus dubius","red spinach","BP"
"Amaranthus thunbergii","thunberg's amaranthus","Peters, ""Edible Wild Plants of Subsaharan Africa"""
"Ammi majus","bishops weed","Milla 2020 Crop Origins"
"Amomum aromaticum","nepal cardamon","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Amomum compactum","round cardamom","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Amomum longiligulare","hainan amomum","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Amomum subulatum","black cardamom","BP"
"Amomum verum","cambodian cardamom","Milla 2020 Crop Origins"
"Ananas parguazensis","ananas genus","Milla 2020 Crop Origins"
"Ancylobothrys petersiana","climbing milk-apricot","Peters, ""Edible Wild Plants of Subsaharan Africa"""
"Aneilema aequinoctiale","clinging aneilema","Peters, ""Edible Wild Plants of Subsaharan Africa"""
"Angelica japonica","ma qing","Milla 2020 Crop Origins"
"Annona atemoya","atemoya","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Annona diversifolia","ilama","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Annona scleroderma","cawesh","Milla 2020 Crop Origins"
"Anonidium mannii","bobo","BP"
"Anredera baselloides","anredera genus","Milla 2020 Crop Origins"
"Apium carvi","caraway","Milla 2020 Crop Origins"
"Apium prostratum","sea celery","Newton, ""The Oldest Foods on Earth"""
"Aponogeton distachyos","cape pondweed","van Wyk, ""Food Plants of the World"""
"Aquilegia caerulea","colorado blue columbine","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Arachis villosulicarpa","perennial peanut","Milla 2020 Crop Origins"
"Archidendron bigeminum","kalitiya","Milla 2020 Crop Origins"
"Archidendron bubalinum","kerdas","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Archidendron jiringa","djenkol tree","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Argania spinosa","argan tree","van Wyk, ""Food Plants of the World"""
"Argyranthemum frutescens","paris daisy","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Baccaurea angulata","belimbing hutan","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Baccaurea dulcis","ketupa","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Baccaurea edulis","tampoi","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Baccaurea lanceolata","lampaong","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Baccaurea macrocarpa","tampoi","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Baccaurea motleyana","rambai","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Baccaurea racemosa","kapundung","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Bactris guineensis","prickly pole","Blancke 2016"
"Bambusa horsfieldii","bambu napap","Milla 2020 Crop Origins"
"Banksia integrifolia","coast banksia","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Barringtonia novae-hiberniae","pau nut","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Barringtonia procera","pau nut","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Barringtonia scortechinii","putat","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Begonia cucullata","wax begonia","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Begonia x tuberhybrida","tuberous begonia","Lim, ""Edible Medicinal and Non-Medicinal Plants"""
"Beloperone californica","chuparosa","Facciola, ""Cornucopia"""
"Beta palonga","beta genus","Milla 2020 Crop Origins"
"Beta vulgaris subsp. cicla","chard","van Wyk, ""Food Plants of the World"""
"Beta vulgaris subsp. vulgaris","beet","BP"
"Billardiera scandens","apple berry","Newton, ""The Oldest Foods on Earth"""
"Brachiaria deflexa","guinea millet","Peters, ""Edible Wild Plants of Subsaharan Africa"""
"Brachiaria ramosa","browntop millet","Peters, ""Edible Wild Plants of Subsaharan Africa"""
"Brassica juncea var. juncea","brown mustard","BP"
"Brassica juncea var. rugosa","mustard greens","van Wyk, ""Food Plants of the World"""
"Brassica napobrassica","rutabaga","JL"
"Brassica oleracea var. alboglabra","gai-lan","BP"
"Brassica oleracea var. botrytis","cauliflower","BP"
"Brassica oleracea var. botrytis x italica","broccoflower","BP"
"Brassica oleracea var. capitata f. acuta","cone cabbage","BP"
"Brassica oleracea var. capitata f. alba","cabbage","BP"
"Brassica oleracea var. capitata f. rubra","red cabbage","BP"
"Brassica oleracea var. capitata f. sabauda","savoy cabbage","BP"
"Brassica oleracea var. costata","tronchuda kale","BP"
"Brassica oleracea var. gemmifera","brussels sprout","BP"
"Brassica oleracea var. gongylodes","kohlrabi","BP"
"Brassica oleracea var. italica","broccoli","BP"
"Brassica oleracea var. italica x alboglabra","broccolini","BP"
"Brassica oleracea var. longata","jersey cabbage","BP"
"Brassica oleracea var. medullosa","marrow cabbage","BP"
"Brassica oleracea var. oleracea","wild cabbage","BP"
"Brassica oleracea var. palmifolia","lacinato kale","BP"
"Brassica oleracea var. ramosa","perpetual kale","BP"
"Brassica oleracea var. sabellica","curly kale","van Wyk, ""Food Plants of the World"""
