Feature ID	Taxon
AY700248.1	NA;Chordata;Actinopteri;Tetraodontiformes;Balistidae;Abalistes;Abalistes stellatus;NA;NA;NA
AP009305.1	NA;Chordata;Actinopteri;Cypriniformes;Leuciscidae;Abramis;Abramis brama;NA;NA;NA
KC894466.1	NA;Chordata;Actinopteri;Cypriniformes;Leuciscidae;Abramis;Abramis brama;Abramis brama orientalis;NA;NA
AF285920.1	NA;Chordata;Actinopteri;NA;Pomacentridae;Abudefduf;Abudefduf saxatilis;NA;NA;NA
FJ616294.1	NA;Chordata;Actinopteri;NA;Pomacentridae;Abudefduf;Abudefduf septemfasciatus;NA;NA;NA
LC589608.1	NA;Chordata;Actinopteri;NA;Pomacentridae;Abudefduf;Abudefduf septemfasciatus;NA;NA;NA
AF436879.1	NA;Chordata;Actinopteri;NA;Pomacentridae;Abudefduf;Abudefduf sordidus;NA;NA;NA
FJ616296.1	NA;Chordata;Actinopteri;NA;Pomacentridae;Abudefduf;Abudefduf sordidus;NA;NA;NA
Abudefduf	NA;Chordata;Actinopteri;NA;Pomacentridae;Abudefduf;Abudefduf vaigiensis;NA;NA;NA
Acanthocybium	NA;Chordata;Actinopteri;Scombriformes;Scombridae;Acanthocybium;Acanthocybium solandri;NA;NA;NA
PP032949.1	NA;Chordata;Actinopteri;Scombriformes;Scombridae;Acanthocybium;Acanthocybium solandri;NA;NA;NA
Acanthopagrus	NA;Chordata;Actinopteri;Spariformes;Sparidae;Acanthopagrus;Acanthopagrus schlegelii;NA;NA;NA
AY700273.1	NA;Chordata;Actinopteri;Tetraodontiformes;Ostraciidae;Acanthostracion;Acanthostracion polygonius;NA;NA;NA
KT600930.1	NA;Chordata;Actinopteri;Tetraodontiformes;Ostraciidae;Acanthostracion;Acanthostracion polygonius;NA;NA;NA
AY700275.1	NA;Chordata;Actinopteri;Tetraodontiformes;Ostraciidae;Acanthostracion;Acanthostracion quadricornis;NA;NA;NA
OP035106.1	NA;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus achilles;NA;NA;NA
OP056937.1	NA;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus chirurgus;NA;NA;NA
OP035153.1	NA;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus coeruleus;NA;NA;NA
LC834802.1	NA;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus dussumieri;NA;NA;NA
PZ253488.1	NA;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus mata;NA;NA;NA
OP035282.1	NA;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus nigrofuscus;NA;NA;NA
PZ310974.1	NA;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus nubilus;NA;NA;NA
PZ310975.1	NA;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus nubilus;NA;NA;NA
OP035305.1	NA;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus olivaceus;NA;NA;NA
NC_065340.1	NA;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus triostegus;NA;NA;NA
AF055607.1	NA;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus xanthopterus;NA;NA;NA
AY544135.1	NA;Chordata;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;Acipenser baerii;NA;NA;NA
AY510085.1	NA;Chordata;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;Acipenser dabryanus;NA;NA;NA
AF125595.2	NA;Chordata;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;Acipenser fulvescens;NA;NA;NA
KU985070.1	NA;Chordata;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;Acipenser fulvescens;NA;NA;NA
AY544136.1	NA;Chordata;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;Acipenser gueldenstaedtii;NA;NA;NA
KJ789859.1	NA;Chordata;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;Acipenser gueldenstaedtii;NA;NA;NA
